I	12776	24940	+
I	26026	26430	+
I	26026	26565	+
I	26026	26700	+
I	26161	26430	+
I	26161	26565	+
I	26161	26700	+
I	71512	161241	+
I	83280	111704	-
I	84461	165639	-
I	87388	87500	+
I	101307	143276	+
I	121510	160259	+
I	121510	165847	+
I	121777	162569	+
I	123864	165646	+
I	139188	139218	+
I	142119	160505	-
I	142254	142619	+
I	151007	151096	-
I	160770	187132	-
I	160799	164526	+
I	160861	172753	+
I	165635	165682	+
I	165735	179334	-
I	181179	181210	+
I	204646	205050	-
I	204671	205210	-
I	204671	205345	-
I	204781	205050	-
I	204806	205210	-
I	204806	205345	-
I	204916	205050	-
I	204941	205210	-
I	204941	205345	-
I	206113	206247	+
I	206113	206382	+
I	219203	222587	+
